2012-07-07 07:09:32 configure groff-base:powerpc 1.21-9 <none>
2012-07-07 07:09:32 status unpacked groff-base:powerpc 1.21-9
2012-07-07 07:09:32 status unpacked groff-base:powerpc 1.21-9
2012-07-07 07:09:33 status unpacked groff-base:powerpc 1.21-9
2012-07-07 07:09:33 status half-configured groff-base:powerpc 1.21-9
2012-07-07 07:09:33 status installed groff-base:powerpc 1.21-9
2012-07-07 07:09:33 configure vim-common:powerpc 2:7.3.547-3 <none>
2012-07-07 07:09:33 status unpacked vim-common:powerpc 2:7.3.547-3
2012-07-07 07:09:33 status unpacked vim-common:powerpc 2:7.3.547-3
2012-07-07 07:09:33 status half-configured vim-common:powerpc 2:7.3.547-3
2012-07-07 07:09:33 status installed vim-common:powerpc 2:7.3.547-3
2012-07-07 07:09:33 configure vim-tiny:powerpc 2:7.3.547-3 <none>
2012-07-07 07:09:33 status unpacked vim-tiny:powerpc 2:7.3.547-3
2012-07-07 07:09:34 status unpacked vim-tiny:powerpc 2:7.3.547-3
2012-07-07 07:09:34 status half-configured vim-tiny:powerpc 2:7.3.547-3
2012-07-07 07:09:35 status installed vim-tiny:powerpc 2:7.3.547-3
2012-07-07 07:09:35 configure gcc-4.6-base:powerpc 4.6.3-8 <none>
2012-07-07 07:09:35 status unpacked gcc-4.6-base:powerpc 4.6.3-8
2012-07-07 07:09:35 status half-configured gcc-4.6-base:powerpc 4.6.3-8
2012-07-07 07:09:35 status installed gcc-4.6-base:powerpc 4.6.3-8
2012-07-07 07:09:35 configure cpp-4.6:powerpc 4.6.3-8 <none>
2012-07-07 07:09:35 status unpacked cpp-4.6:powerpc 4.6.3-8
2012-07-07 07:09:35 status half-configured cpp-4.6:powerpc 4.6.3-8
2012-07-07 07:09:35 status installed cpp-4.6:powerpc 4.6.3-8
2012-07-07 07:09:35 configure gcc-4.6:powerpc 4.6.3-8 <none>
2012-07-07 07:09:35 status unpacked gcc-4.6:powerpc 4.6.3-8
2012-07-07 07:09:35 status half-configured gcc-4.6:powerpc 4.6.3-8
2012-07-07 07:09:35 status installed gcc-4.6:powerpc 4.6.3-8
2012-07-07 07:09:35 configure cpp:powerpc 4:4.6.3-7 <none>
2012-07-07 07:09:35 status unpacked cpp:powerpc 4:4.6.3-7
2012-07-07 07:09:35 status half-configured cpp:powerpc 4:4.6.3-7
2012-07-07 07:09:35 status installed cpp:powerpc 4:4.6.3-7
2012-07-07 07:09:36 configure gcc:powerpc 4:4.6.3-7 <none>
2012-07-07 07:09:36 status unpacked gcc:powerpc 4:4.6.3-7
2012-07-07 07:09:36 status half-configured gcc:powerpc 4:4.6.3-7
2012-07-07 07:09:36 status installed gcc:powerpc 4:4.6.3-7
2012-07-07 07:09:36 configure libstdc++6-4.6-dev:powerpc 4.6.3-8 <none>
2012-07-07 07:09:36 status unpacked libstdc++6-4.6-dev:powerpc 4.6.3-8
2012-07-07 07:09:36 status half-configured libstdc++6-4.6-dev:powerpc 4.6.3-8
2012-07-07 07:09:36 status installed libstdc++6-4.6-dev:powerpc 4.6.3-8
2012-07-07 07:09:36 configure g++-4.6:powerpc 4.6.3-8 <none>
2012-07-07 07:09:36 status unpacked g++-4.6:powerpc 4.6.3-8
2012-07-07 07:09:36 status half-configured g++-4.6:powerpc 4.6.3-8
2012-07-07 07:09:36 status installed g++-4.6:powerpc 4.6.3-8
2012-07-07 07:09:36 configure g++:powerpc 4:4.6.3-7 <none>
2012-07-07 07:09:36 status unpacked g++:powerpc 4:4.6.3-7
2012-07-07 07:09:36 status half-configured g++:powerpc 4:4.6.3-7
2012-07-07 07:09:37 status installed g++:powerpc 4:4.6.3-7
2012-07-07 07:38:09 startup packages purge
2012-07-07 07:38:09 status config-files dhcp3-client:powerpc 3.1.1-6
2012-07-07 07:38:09 remove dhcp3-client:powerpc 3.1.1-6 <none>
2012-07-07 07:38:09 purge dhcp3-client:powerpc 3.1.1-6 <none>
2012-07-07 07:38:09 status config-files dhcp3-client:powerpc 3.1.1-6
2012-07-07 07:38:09 status config-files dhcp3-client:powerpc 3.1.1-6
2012-07-07 07:38:10 status config-files dhcp3-client:powerpc 3.1.1-6
2012-07-07 07:38:15 status config-files dhcp3-client:powerpc 3.1.1-6
2012-07-07 07:38:16 status config-files dhcp3-client:powerpc 3.1.1-6
2012-07-07 07:38:16 status not-installed dhcp3-client:powerpc <none>
2012-07-07 07:38:16 status config-files libboost-iostreams1.42.0:powerpc 1.42.0-4
2012-07-07 07:38:16 remove libboost-iostreams1.42.0:powerpc 1.42.0-4 <none>
2012-07-07 07:38:16 purge libboost-iostreams1.42.0:powerpc 1.42.0-4 <none>
